lead_id,country,type,stage,stage_order,won,is_closed
288,Thailand,Government,outreach,1,0,0
289,Thailand,Government,outreach,1,0,0
290,Thailand,Government,outreach,1,0,0
291,Thailand,Government,outreach,1,0,0
292,Thailand,Government,outreach,1,0,0
293,Thailand,Government,outreach,1,0,0
294,Thailand,Government,outreach,1,0,0
295,Thailand,Government,outreach,1,0,0
296,Thailand,Government,outreach,1,0,0
297,Thailand,Government,outreach,1,0,0
298,Thailand,Government,outreach,1,0,0
299,Thailand,Government,outreach,1,0,0
300,Thailand,Government,outreach,1,0,0
301,Cambodia,Government,outreach,1,0,0
302,Cambodia,Government,engagement,2,0,0
303,Cambodia,Government,outreach,1,0,0
304,Cambodia,Government,outreach,1,0,0
305,Cambodia,Government,outreach,1,0,0
306,Cambodia,Government,outreach,1,0,0
307,Cambodia,Government,outreach,1,0,0
308,Cambodia,Government,outreach,1,0,0
309,Cambodia,Government,outreach,1,0,0
310,Cambodia,Government,outreach,1,0,0
311,Cambodia,Government,outreach,1,0,0
312,Benin,Government,outreach,1,0,0
313,Mongolia,Government,outreach,1,0,0
314,Mongolia,Government,engagement,2,0,0
315,Mongolia,Government,outreach,1,0,0
316,Mongolia,Government,outreach,1,0,0
317,Mongolia,Government,outreach,1,0,0
318,Mongolia,Government,outreach,1,0,0
319,Mongolia,Government,outreach,1,0,0
320,Mongolia,Government,outreach,1,0,0
321,Mongolia,Government,engagement,2,0,0
322,Mongolia,Government,outreach,1,0,0
323,Mongolia,Government,outreach,1,0,0
324,Mongolia,Government,outreach,1,0,0
325,Mongolia,Government,outreach,1,0,0
326,Guinea,Government,proposal,4,0,0
327,Guinea,Government,outreach,1,0,0
328,Namibia,Government,outreach,1,0,0
329,Namibia,Government,outreach,1,0,0
330,Laos,Government,lost_no_budget,5,0,1
331,Laos,Government,lost_no_budget,5,0,1
332,Laos,Government,outreach,1,0,0
333,Laos,Government,outreach,1,0,0
334,Laos,Government,outreach,1,0,0
335,Laos,Government,outreach,1,0,0
336,Laos,Government,outreach,1,0,0
337,USA,Government,outreach,1,0,0
338,Namibia,Government,outreach,1,0,0
339,Namibia,Government,outreach,1,0,0
340,Namibia,Government,outreach,1,0,0
341,Namibia,Government,outreach,1,0,0
342,Namibia,Government,outreach,1,0,0
343,Uruguay,Government,outreach,1,0,0
344,Uruguay,Government,outreach,1,0,0
345,Uruguay,Government,outreach,1,0,0
346,UAE,Government,outreach,1,0,0
347,Kenya,Government,engagement,2,0,0
348,Côte d'Ivoire,Government,engagement,2,0,0
349,Côte d'Ivoire,Government,outreach,1,0,0
350,Côte d'Ivoire,Government,outreach,1,0,0
351,Côte d'Ivoire,Government,outreach,1,0,0
352,Côte d'Ivoire,Government,outreach,1,0,0
353,Côte d'Ivoire,Government,outreach,1,0,0
354,Philippines,Government,outreach,1,0,0
355,Philippines,Government,outreach,1,0,0
356,Philippines,Government,outreach,1,0,0
357,Philippines,Government,outreach,1,0,0
358,Philippines,Government,outreach,1,0,0
359,Philippines,Government,outreach,1,0,0
360,Philippines,Government,outreach,1,0,0
361,Philippines,Government,outreach,1,0,0
362,Philippines,Government,outreach,1,0,0
363,Philippines,Government,outreach,1,0,0
364,Philippines,Government,outreach,1,0,0
365,Philippines,Government,outreach,1,0,0
366,Philippines,Government,outreach,1,0,0
367,Philippines,Government,outreach,1,0,0
368,Philippines,Government,outreach,1,0,0
369,Philippines,Government,outreach,1,0,0
370,Philippines,Government,outreach,1,0,0
371,Philippines,Government,engagement,2,0,0
372,Philippines,Government,outreach,1,0,0
373,Philippines,Government,outreach,1,0,0
374,Philippines,Government,engagement,2,0,0
375,Philippines,Government,outreach,1,0,0
376,Philippines,Government,meeting,3,0,0
377,Philippines,Government,meeting,3,0,0
378,Philippines,Government,meeting,3,0,0
379,Philippines,Government,outreach,1,0,0
380,Poland,Government,engagement,2,0,0
381,Poland,Government,outreach,1,0,0
382,Poland,Government,engagement,2,0,0
383,Poland,Government,outreach,1,0,0
384,Poland,Government,outreach,1,0,0
385,Poland,Government,outreach,1,0,0
386,Poland,Government,outreach,1,0,0
387,Poland,Government,outreach,1,0,0
388,Poland,Government,outreach,1,0,0
389,Poland,Government,outreach,1,0,0
390,Poland,Government,outreach,1,0,0
391,Poland,Government,outreach,1,0,0
392,Poland,Government,engagement,2,0,0
393,Poland,Government,outreach,1,0,0
